date,download,test_server,test_server_distance,test_server_latency,test_server_location,upload
2016-12-09 02:00:01,54.2,wilhelm.tel,0.0,29.018,Norderstedt,5.26
2016-12-09 03:00:01,51.94,wilhelm.tel,0.0,29.361,Norderstedt,5.42
2016-12-09 04:00:01,55.55,Stadtwerke Neumünster GmbH,0.0,31.104,Neumuenster,5.35
2016-12-09 05:00:01,52.95,wilhelm.tel,0.0,30.352,Norderstedt,5.42
2016-12-09 06:00:01,54.34,C&S Breitband GmbH,0.0,33.022,Bad Oldesloe,5.44
2016-12-09 07:00:01,55.86,Stadtwerke Neumünster GmbH,0.0,30.724,Neumuenster,5.35
2016-12-09 08:00:01,56.06,Stadtwerke Neumünster GmbH,0.0,30.776,Neumuenster,5.3
2016-12-09 09:00:01,54.27,Stadtwerke Neumünster GmbH,0.0,30.302,Neumuenster,5.34
2016-12-09 10:00:01,51.6,TNG Stadtnetz GmbH,0.0,32.622,Kiel,5.43
2016-12-09 11:00:01,55.56,Studio Funk GmbH & Co. KG,0.0,29.414,Hamburg,5.37
2016-12-09 12:00:01,54.62,TNG Stadtnetz GmbH,0.0,30.584,Kiel,5.44
2016-12-09 13:00:01,45.22,Studio Funk GmbH & Co. KG,0.0,29.768,Hamburg,5.34
2016-12-09 14:00:01,53.85,Stadtwerke Neumünster GmbH,0.0,30.218,Neumuenster,5.51
2016-12-09 15:00:01,55.87,TNG Stadtnetz GmbH,0.0,31.273,Kiel,5.44
2016-12-09 16:00:01,54.57,Studio Funk GmbH & Co. KG,0.0,29.083,Hamburg,5.51
2016-12-09 17:00:01,51.83,wilhelm.tel,0.0,28.653,Norderstedt,5.34
2016-12-09 18:00:01,54.98,Studio Funk GmbH & Co. KG,0.0,30.154,Hamburg,5.47
2016-12-09 19:00:01,52.71,Studio Funk GmbH & Co. KG,0.0,30.592,Hamburg,5.44
2016-12-09 20:00:01,48.75,Stadtwerke Neumünster GmbH,0.0,29.947,Neumuenster,5.39
2016-12-09 21:00:02,47.53,Studio Funk GmbH & Co. KG,0.0,31.166,Hamburg,5.42
2016-12-09 22:00:01,47.88,TNG Stadtnetz GmbH,0.0,32.437,Kiel,5.32
2016-12-09 23:00:01,46.82,wilhelm.tel,0.0,31.729,Norderstedt,5.23
2016-12-10 00:00:01,43.1,Studio Funk GmbH & Co. KG,0.0,29.836,Hamburg,5.41
2016-12-10 01:00:01,51.04,Studio Funk GmbH & Co. KG,0.0,30.127,Hamburg,5.35
2016-12-10 02:00:02,54.82,Studio Funk GmbH & Co. KG,0.0,28.721,Hamburg,5.44
2016-12-10 03:00:01,54.2,wilhelm.tel,0.0,29.094,Norderstedt,5.36
2016-12-10 04:00:01,55.24,TNG Stadtnetz GmbH,0.0,32.127,Kiel,5.41
2016-12-10 05:00:01,55.67,C&S Breitband GmbH,0.0,31.228,Bad Oldesloe,5.46
2016-12-10 06:00:01,55.6,Stadtwerke Neumünster GmbH,0.0,30.592,Neumuenster,5.34
2016-12-10 07:00:01,55.43,TNG Stadtnetz GmbH,0.0,30.342,Kiel,5.41
2016-12-10 08:00:01,55.3,Studio Funk GmbH & Co. KG,0.0,29.222,Hamburg,4.64
2016-12-10 09:00:01,55.77,TNG Stadtnetz GmbH,0.0,30.38,Kiel,5.42
2016-12-10 10:00:01,54.36,Studio Funk GmbH & Co. KG,0.0,30.421,Hamburg,5.54
2016-12-10 11:00:01,54.18,wilhelm.tel,0.0,28.154,Norderstedt,5.28
2016-12-10 12:00:02,54.14,wilhelm.tel,0.0,31.189,Norderstedt,5.41
2016-12-10 13:00:01,55.75,TNG Stadtnetz GmbH,0.0,31.767,Kiel,5.44
2016-12-10 14:00:01,53.21,C&S Breitband GmbH,0.0,32.477,Bad Oldesloe,5.41
2016-12-10 15:00:01,55.46,TNG Stadtnetz GmbH,0.0,33.102,Kiel,5.51
2016-12-10 16:00:01,54.14,Stadtwerke Neumünster GmbH,0.0,32.007,Neumuenster,5.41
2016-12-10 17:00:01,53.08,wilhelm.tel,0.0,28.22,Norderstedt,5.31
2016-12-10 18:00:02,54.08,Studio Funk GmbH & Co. KG,0.0,30.061,Hamburg,5.37
2016-12-10 19:00:01,47.62,Studio Funk GmbH & Co. KG,0.0,29.712,Hamburg,5.42
2016-12-10 20:00:01,47.15,TNG Stadtnetz GmbH,0.0,31.501,Kiel,5.46
2016-12-10 21:00:01,52.19,Studio Funk GmbH & Co. KG,0.0,29.465,Hamburg,5.44
2016-12-10 22:00:01,50.99,TNG Stadtnetz GmbH,0.0,31.758,Kiel,5.32
2016-12-10 23:00:01,51.89,Stadtwerke Neumünster GmbH,0.0,29.296,Neumuenster,5.38
2016-12-11 00:00:01,53.57,C&S Breitband GmbH,0.0,30.423,Bad Oldesloe,5.37
2016-12-11 01:00:01,51.49,Studio Funk GmbH & Co. KG,0.0,27.885,Hamburg,5.46
2016-12-11 02:00:02,55.67,C&S Breitband GmbH,0.0,32.562,Bad Oldesloe,5.47
2016-12-11 03:00:02,51.6,Studio Funk GmbH & Co. KG,0.0,29.1,Hamburg,5.33
2016-12-11 04:00:01,49.65,wilhelm.tel,0.0,30.461,Norderstedt,5.37
2016-12-11 05:00:01,55.27,Studio Funk GmbH & Co. KG,0.0,29.991,Hamburg,5.48
2016-12-11 06:00:01,54.96,C&S Breitband GmbH,0.0,31.284,Bad Oldesloe,5.48
2016-12-11 07:00:01,55.48,Studio Funk GmbH & Co. KG,0.0,29.817,Hamburg,5.48
2016-12-11 08:00:01,55.56,Studio Funk GmbH & Co. KG,0.0,31.403,Hamburg,5.49
2016-12-11 10:00:01,56.26,TNG Stadtnetz GmbH,0.0,31.468,Kiel,5.39
2016-12-11 11:00:02,54.14,wilhelm.tel,0.0,29.542,Norderstedt,5.36
2016-12-11 12:00:01,47.34,wilhelm.tel,0.0,30.047,Norderstedt,5.09
2016-12-11 13:00:01,54.53,wilhelm.tel,0.0,28.398,Norderstedt,5.4
2016-12-11 14:00:01,53.03,wilhelm.tel,0.0,30.065,Norderstedt,5.2
2016-12-11 15:00:01,55.79,Stadtwerke Neumünster GmbH,0.0,30.838,Neumuenster,5.46
2016-12-11 16:00:01,55.52,Studio Funk GmbH & Co. KG,0.0,30.755,Hamburg,5.48
2016-12-11 17:00:02,50.03,wilhelm.tel,0.0,30.44,Norderstedt,5.28
2016-12-11 18:00:01,48.13,Studio Funk GmbH & Co. KG,0.0,29.827,Hamburg,5.38
2016-12-11 19:00:02,51.81,Studio Funk GmbH & Co. KG,0.0,28.238,Hamburg,5.47
2016-12-11 20:00:01,53.9,Studio Funk GmbH & Co. KG,0.0,31.476,Hamburg,5.45
2016-12-11 21:00:01,53.93,Studio Funk GmbH & Co. KG,0.0,29.087,Hamburg,5.3
2016-12-11 22:00:01,51.08,Studio Funk GmbH & Co. KG,0.0,30.658,Hamburg,5.37
2016-12-11 23:00:01,51.22,wilhelm.tel,0.0,29.081,Norderstedt,5.38
2016-12-12 00:00:02,45.22,Studio Funk GmbH & Co. KG,0.0,32.019,Hamburg,5.46
2016-12-12 01:00:01,52.52,wilhelm.tel,0.0,30.204,Norderstedt,5.3
2016-12-12 02:00:02,21.06,Studio Funk GmbH & Co. KG,0.0,29.891,Hamburg,5.47
2016-12-12 03:00:01,55.31,Studio Funk GmbH & Co. KG,0.0,28.957,Hamburg,5.53
2016-12-12 04:00:02,55.54,Studio Funk GmbH & Co. KG,0.0,28.133,Hamburg,5.39
2016-12-12 05:00:01,55.84,Studio Funk GmbH & Co. KG,0.0,30.42,Hamburg,5.26
2016-12-12 06:00:01,55.15,Stadtwerke Neumünster GmbH,0.0,30.944,Neumuenster,5.48
2016-12-12 07:00:01,55.81,Studio Funk GmbH & Co. KG,0.0,31.305,Hamburg,5.44
2016-12-12 08:00:01,55.43,C&S Breitband GmbH,0.0,31.078,Bad Oldesloe,5.34
2016-12-12 09:00:01,53.42,wilhelm.tel,0.0,28.937,Norderstedt,5.39
2016-12-12 10:00:01,49.64,wilhelm.tel,0.0,29.234,Norderstedt,5.39
2016-12-12 11:00:01,54.09,wilhelm.tel,0.0,30.415,Norderstedt,5.28
2016-12-12 12:00:01,53.91,wilhelm.tel,0.0,29.901,Norderstedt,5.39
2016-12-12 13:00:01,49.83,Stadtwerke Neumünster GmbH,0.0,31.973,Neumuenster,5.47
2016-12-12 14:00:02,51.78,TNG Stadtnetz GmbH,0.0,31.574,Kiel,5.37
2016-12-12 15:00:01,51.24,wilhelm.tel,0.0,28.567,Norderstedt,5.39
2016-12-12 16:00:01,52.44,Stadtwerke Neumünster GmbH,0.0,32.652,Neumuenster,5.37
2016-12-12 17:00:01,54.33,TNG Stadtnetz GmbH,0.0,30.942,Kiel,5.43
2016-12-12 18:00:01,51.68,Stadtwerke Neumünster GmbH,0.0,32.21,Neumuenster,5.46
2016-12-12 19:00:01,50.37,Stadtwerke Neumünster GmbH,0.0,31.338,Neumuenster,5.49
2016-12-12 20:00:01,52.46,TNG Stadtnetz GmbH,0.0,32.425,Kiel,5.48
2016-12-12 21:00:02,53.52,TNG Stadtnetz GmbH,0.0,31.6,Kiel,5.46
2016-12-12 22:00:01,46.41,wilhelm.tel,0.0,30.452,Norderstedt,5.38
2016-12-12 23:00:01,48.37,wilhelm.tel,0.0,30.078,Norderstedt,5.44
2016-12-13 00:00:01,50.52,Studio Funk GmbH & Co. KG,0.0,31.312,Hamburg,5.47
2016-12-13 01:00:01,53.21,Studio Funk GmbH & Co. KG,0.0,29.965,Hamburg,5.44
2016-12-13 02:00:02,36.56,Studio Funk GmbH & Co. KG,0.0,30.906,Hamburg,5.43
2016-12-13 03:00:01,53.2,wilhelm.tel,0.0,27.898,Norderstedt,5.38
2016-12-13 04:00:01,55.25,Studio Funk GmbH & Co. KG,0.0,29.312,Hamburg,5.43
2016-12-13 05:00:01,55.45,Studio Funk GmbH & Co. KG,0.0,30.761,Hamburg,5.5
2016-12-13 06:00:01,52.76,C&S Breitband GmbH,0.0,31.565,Bad Oldesloe,5.45
2016-12-13 07:00:01,53.04,wilhelm.tel,0.0,28.636,Norderstedt,5.35
2016-12-13 08:00:01,55.79,Studio Funk GmbH & Co. KG,0.0,29.623,Hamburg,5.42
2016-12-13 09:00:01,54.7,Studio Funk GmbH & Co. KG,0.0,29.905,Hamburg,1.29
2016-12-13 10:00:01,55.93,Studio Funk GmbH & Co. KG,0.0,30.292,Hamburg,5.46
